File Header:	
File Path:	Z:\Data\Zebrafish Misgeld Wehne 2013\03.24.14 mitoPAGFP + mitoTAGRFP\Fish2\trajectory5.txt
Date:	3/25/2014
Time:	6:04 PM
Orbit_Time_[ms]:	5
Orbit Radius [V]: 	0.0150
Tracking_Treshold_[Hz]:	   5000
Delay_Orbits: 	  1
Number of Particles:	1
Long_Range:	1
Long Range_Treshold_[V]:	0.5882
Data:	
|X Pos [V]|	|Y Pos [V]|	|Z Pos [V]|	|Step #|	|Calc Time [ms]|	|Int 1 [Hz]|	|Int 2 [Hz]|	|Camera Frame|	|Tracking Active|	|Long Range X|	|Long Range Y|
-0.30835	-0.47970	0.00000	1.00000	931.00000	243000.00000	242200.00000	1.00000	1.00000	0.00000	0.00000
-0.30856	-0.48269	-0.00171	2.00000	961.00000	209600.00000	191800.00000	1.00000	1.00000	0.00000	0.00000
-0.30895	-0.48575	-0.00195	3.00000	921.00000	218600.00000	214800.00000	1.00000	1.00000	0.00000	0.00000
-0.30939	-0.48917	-0.00378	4.00000	971.00000	205800.00000	186800.00000	1.00000	1.00000	0.00000	0.00000
-0.30982	-0.49244	-0.00500	5.00000	946.00000	204400.00000	192200.00000	1.00000	1.00000	0.00000	0.00000
-0.31002	-0.49558	-0.00586	6.00000	951.00000	196600.00000	187800.00000	1.00000	1.00000	0.00000	0.00000
-0.31057	-0.49891	-0.00708	7.00000	935.00000	180400.00000	168800.00000	1.00000	1.00000	0.00000	0.00000
-0.31101	-0.50218	-0.00903	8.00000	981.00000	183200.00000	166000.00000	1.00000	1.00000	0.00000	0.00000
-0.31159	-0.50543	-0.00940	9.00000	968.00000	175400.00000	171600.00000	1.00000	1.00000	0.00000	0.00000
-0.31200	-0.50856	-0.01123	10.00000	1028.00000	179400.00000	163400.00000	1.00000	1.00000	0.00000	0.00000
-0.31260	-0.51187	-0.01294	11.00000	958.00000	169400.00000	154800.00000	1.00000	1.00000	0.00000	0.00000
-0.31311	-0.51528	-0.01636	12.00000	940.00000	181200.00000	152000.00000	1.00000	1.00000	0.00000	0.00000
-0.31356	-0.51862	-0.01770	13.00000	935.00000	159800.00000	149200.00000	1.00000	1.00000	0.00000	0.00000
-0.31405	-0.52203	-0.01843	14.00000	940.00000	149800.00000	144400.00000	1.00000	1.00000	0.00000	0.00000
-0.31478	-0.52548	-0.01904	15.00000	971.00000	168000.00000	162000.00000	1.00000	1.00000	0.00000	0.00000
-0.31538	-0.52909	-0.01807	16.00000	934.00000	155000.00000	162000.00000	1.00000	1.00000	0.00000	0.00000
-0.31633	-0.53202	-0.02039	17.00000	936.00000	165400.00000	146400.00000	1.00000	1.00000	0.00000	0.00000
-0.31733	-0.53128	-0.02478	18.00000	1344.00000	244200.00000	195600.00000	1.00000	1.00000	0.00000	0.00000
-0.31935	-0.52982	-0.03174	19.00000	3533.00000	178200.00000	125800.00000	1.00000	1.00000	0.00000	0.00000
-0.32095	-0.52842	-0.03772	20.00000	5702.00000	235400.00000	174000.00000	1.00000	1.00000	0.00000	0.00000
-0.32221	-0.52708	-0.04089	21.00000	5762.00000	219400.00000	187000.00000	1.00000	1.00000	0.00000	0.00000
-0.32313	-0.52603	-0.04114	22.00000	5806.00000	210600.00000	207000.00000	1.00000	1.00000	0.00000	0.00000
-0.32387	-0.52486	-0.04150	23.00000	5752.00000	206200.00000	202200.00000	1.00000	1.00000	0.00000	0.00000
-0.32443	-0.52383	-0.04236	24.00000	5768.00000	210200.00000	201000.00000	2.00000	1.00000	0.00000	0.00000
-0.32472	-0.52299	-0.04272	25.00000	5737.00000	204800.00000	200600.00000	2.00000	1.00000	0.00000	0.00000
-0.32504	-0.52234	-0.04382	26.00000	5747.00000	206000.00000	194400.00000	2.00000	1.00000	0.00000	0.00000
