File Header:	
File Path:	Z:\Data\Zebrafish Misgeld Wehne 2013\04.14.14 mitoPAGFP + mitoTAGRFP\Trajectory5-Retro+Fusion+Anterograde.txt
Date:	4/15/2014
Time:	2:45 PM
Orbit_Time_[ms]:	5
Orbit Radius [V]: 	0.0150
Tracking_Treshold_[Hz]:	   5000
Delay_Orbits: 	  1
Number of Particles:	1
Long_Range:	1
Long Range_Treshold_[V]:	0.5882
Data:	
|X Pos [V]|	|Y Pos [V]|	|Z Pos [V]|	|Step #|	|Calc Time [ms]|	|Int 1 [Hz]|	|Int 2 [Hz]|	|Camera Frame|	|Tracking Active|	|Long Range X|	|Long Range Y|
0.01871	0.29010	-0.01038	1.00000	954.00000	110600.00000	65600.00000	2.00000	1.00000	0.00000	0.00000
0.01667	0.29032	-0.02002	2.00000	979.00000	89600.00000	55000.00000	2.00000	1.00000	0.00000	0.00000
0.01459	0.29076	-0.03210	3.00000	953.00000	94200.00000	51200.00000	2.00000	1.00000	0.00000	0.00000
0.01247	0.29100	-0.04175	4.00000	971.00000	80200.00000	49400.00000	2.00000	1.00000	0.00000	0.00000
0.01016	0.29140	-0.05115	5.00000	964.00000	80800.00000	50200.00000	2.00000	1.00000	0.00000	0.00000
0.00767	0.29149	-0.05933	6.00000	945.00000	76200.00000	50400.00000	2.00000	1.00000	0.00000	0.00000
0.00550	0.29186	-0.06958	7.00000	960.00000	81200.00000	48600.00000	2.00000	1.00000	0.00000	0.00000
0.00331	0.29205	-0.08276	8.00000	971.00000	87200.00000	45000.00000	2.00000	1.00000	0.00000	0.00000
0.00090	0.29189	-0.09155	9.00000	938.00000	82200.00000	52800.00000	2.00000	1.00000	0.00000	0.00000
-0.00122	0.29203	-0.10022	10.00000	1108.00000	80200.00000	51800.00000	2.00000	1.00000	0.00000	0.00000
-0.00371	0.29213	-0.11084	11.00000	943.00000	75400.00000	44200.00000	2.00000	1.00000	0.00000	0.00000
-0.00591	0.29207	-0.12268	12.00000	943.00000	85800.00000	47400.00000	2.00000	1.00000	0.00000	0.00000
-0.00825	0.29194	-0.13379	13.00000	946.00000	76800.00000	44000.00000	2.00000	1.00000	0.00000	0.00000
-0.01038	0.29195	-0.14734	14.00000	943.00000	82200.00000	41600.00000	2.00000	1.00000	0.00000	0.00000
-0.01258	0.29200	-0.15857	15.00000	960.00000	78600.00000	44800.00000	2.00000	1.00000	0.00000	0.00000
-0.01478	0.29206	-0.17041	16.00000	947.00000	76800.00000	42400.00000	2.00000	1.00000	0.00000	0.00000
-0.01639	0.29204	-0.17896	17.00000	939.00000	67200.00000	43800.00000	2.00000	1.00000	0.00000	0.00000
-0.01493	0.29210	-0.18286	18.00000	1226.00000	76200.00000	62400.00000	2.00000	1.00000	0.00000	0.00000
-0.01268	0.29173	-0.17822	19.00000	4079.00000	49200.00000	61800.00000	2.00000	1.00000	0.00000	0.00000
-0.01100	0.29168	-0.17114	20.00000	5760.00000	58600.00000	83400.00000	2.00000	1.00000	0.00000	0.00000
-0.00946	0.29161	-0.15979	21.00000	5758.00000	56800.00000	99600.00000	2.00000	1.00000	0.00000	0.00000
-0.00793	0.29180	-0.14941	22.00000	5755.00000	59800.00000	100000.00000	2.00000	1.00000	0.00000	0.00000
-0.00654	0.29169	-0.14038	23.00000	5799.00000	74000.00000	116000.00000	2.00000	1.00000	0.00000	0.00000
-0.00502	0.29148	-0.13184	24.00000	5768.00000	68800.00000	105200.00000	2.00000	1.00000	0.00000	0.00000
