File Header:	
File Path:	C:\Documents and Settings\Orbit\Desktop\04.9.14 MitoTag + TagRFP\B6Fish2\trajectory2.txt
Date:	4/10/2014
Time:	7:42 PM
Orbit_Time_[ms]:	5
Orbit Radius [V]: 	0.0150
Tracking_Treshold_[Hz]:	   5000
Delay_Orbits: 	  1
Number of Particles:	1
Long_Range:	1
Long Range_Treshold_[V]:	0.5882
Data:	
|X Pos [V]|	|Y Pos [V]|	|Z Pos [V]|	|Step #|	|Calc Time [ms]|	|Int 1 [Hz]|	|Int 2 [Hz]|	|Camera Frame|	|Tracking Active|	|Long Range X|	|Long Range Y|
-0.01517	-0.56371	-0.01526	1.00000	979.00000	34800.00000	16200.00000	2.00000	1.00000	0.00000	0.00000
-0.01790	-0.56658	-0.02124	2.00000	986.00000	28200.00000	20800.00000	2.00000	1.00000	0.00000	0.00000
-0.02021	-0.56894	-0.02856	3.00000	974.00000	29200.00000	20200.00000	2.00000	1.00000	0.00000	0.00000
-0.02329	-0.57207	-0.04102	4.00000	961.00000	27600.00000	14800.00000	2.00000	1.00000	0.00000	0.00000
-0.02557	-0.57476	-0.05078	5.00000	951.00000	25200.00000	15400.00000	2.00000	1.00000	0.00000	0.00000
-0.02776	-0.57732	-0.06177	6.00000	928.00000	27400.00000	15800.00000	2.00000	1.00000	0.00000	0.00000
-0.03017	-0.58009	-0.07104	7.00000	973.00000	26800.00000	16800.00000	2.00000	1.00000	0.00000	0.00000
-0.03219	-0.58340	-0.08350	8.00000	925.00000	25400.00000	13600.00000	2.00000	1.00000	0.00000	0.00000
-0.03441	-0.58623	-0.09583	9.00000	939.00000	25600.00000	13800.00000	2.00000	1.00000	0.00000	0.00000
-0.03636	0.00000	-0.10754	10.00000	1164.00000	28800.00000	16000.00000	2.00000	1.00000	0.00000	-10.00000
-0.03876	-0.00305	-0.11096	11.00000	945.00000	24000.00000	20200.00000	2.00000	1.00000	0.00000	0.00000
-0.04071	-0.00580	-0.12341	12.00000	981.00000	29600.00000	15800.00000	2.00000	1.00000	0.00000	0.00000
-0.04309	-0.00849	-0.13293	13.00000	956.00000	24600.00000	15200.00000	2.00000	1.00000	0.00000	0.00000
-0.04526	-0.01098	-0.13965	14.00000	975.00000	25000.00000	17800.00000	2.00000	1.00000	0.00000	0.00000
-0.04784	-0.01399	-0.15198	15.00000	942.00000	24600.00000	13200.00000	2.00000	1.00000	0.00000	0.00000
-0.04987	-0.01649	-0.16382	16.00000	943.00000	25800.00000	14200.00000	2.00000	1.00000	0.00000	0.00000
-0.05087	-0.01933	-0.17908	17.00000	970.00000	40400.00000	18800.00000	2.00000	1.00000	0.00000	0.00000
-0.04808	-0.01621	-0.19287	18.00000	1084.00000	27600.00000	13800.00000	2.00000	1.00000	0.00000	0.00000
-0.04784	-0.01604	-0.19287	19.00000	3157.00000	1800.00000	3200.00000	2.00000	0.00000	0.00000	0.00000
-0.04765	-0.01546	-0.19287	20.00000	5487.00000	600.00000	3000.00000	2.00000	0.00000	0.00000	0.00000
-0.04364	-0.01922	-0.18787	21.00000	5773.00000	6400.00000	8200.00000	2.00000	1.00000	0.00000	0.00000
-0.04340	-0.01905	-0.18787	22.00000	5473.00000	2400.00000	5200.00000	2.00000	0.00000	0.00000	0.00000
-0.04321	-0.01848	-0.18787	23.00000	5480.00000	2800.00000	5800.00000	2.00000	0.00000	0.00000	0.00000
-0.04349	-0.01762	-0.18787	24.00000	5482.00000	3400.00000	6000.00000	2.00000	0.00000	0.00000	0.00000
-0.04458	-0.01821	-0.16272	25.00000	5716.00000	4400.00000	15400.00000	2.00000	1.00000	0.00000	0.00000
-0.04556	-0.01886	-0.14307	26.00000	5775.00000	3000.00000	8000.00000	2.00000	1.00000	0.00000	0.00000
-0.04435	-0.01636	-0.13208	27.00000	5758.00000	8000.00000	13800.00000	2.00000	1.00000	0.00000	0.00000
-0.04394	-0.01746	-0.11353	28.00000	5748.00000	5000.00000	12600.00000	2.00000	1.00000	0.00000	0.00000
-0.04246	-0.01582	-0.09827	29.00000	5733.00000	13400.00000	28600.00000	2.00000	1.00000	0.00000	0.00000
-0.03941	-0.01625	-0.08374	30.00000	5745.00000	6200.00000	12800.00000	2.00000	1.00000	0.00000	0.00000
-0.03743	-0.01440	-0.06519	31.00000	5756.00000	11800.00000	29800.00000	2.00000	1.00000	0.00000	0.00000
-0.03431	-0.01548	-0.04871	32.00000	5782.00000	15600.00000	35400.00000	2.00000	1.00000	0.00000	0.00000
-0.03172	-0.01684	-0.04492	33.00000	5753.00000	25400.00000	30600.00000	2.00000	1.00000	0.00000	0.00000
-0.02863	-0.01819	-0.04224	34.00000	5733.00000	34800.00000	39800.00000	2.00000	1.00000	0.00000	0.00000
-0.02680	-0.01989	-0.04285	35.00000	5747.00000	29800.00000	28800.00000	2.00000	1.00000	0.00000	0.00000
-0.02548	-0.02033	-0.04517	36.00000	5760.00000	59400.00000	52800.00000	2.00000	1.00000	0.00000	0.00000
-0.02476	-0.02225	-0.04883	37.00000	5749.00000	26800.00000	22200.00000	2.00000	1.00000	0.00000	0.00000
-0.02419	-0.02272	-0.04675	38.00000	5762.00000	56000.00000	62000.00000	2.00000	1.00000	0.00000	0.00000
-0.02415	-0.02411	-0.05200	39.00000	5725.00000	27600.00000	21200.00000	3.00000	1.00000	0.00000	0.00000
-0.02385	-0.02432	-0.05322	40.00000	5742.00000	68600.00000	64400.00000	3.00000	1.00000	0.00000	0.00000
-0.02425	-0.02603	-0.05444	41.00000	5736.00000	34800.00000	32600.00000	3.00000	1.00000	0.00000	0.00000
-0.02360	-0.02592	-0.05530	42.00000	5744.00000	57600.00000	55000.00000	3.00000	1.00000	0.00000	0.00000
-0.02387	-0.02698	-0.05603	43.00000	5718.00000	33800.00000	32400.00000	3.00000	1.00000	0.00000	0.00000
-0.02329	-0.02696	-0.05298	44.00000	5770.00000	48800.00000	56800.00000	3.00000	1.00000	0.00000	0.00000
-0.02331	-0.02806	-0.05151	45.00000	5871.00000	42400.00000	45400.00000	3.00000	1.00000	0.00000	0.00000
-0.02309	-0.02803	-0.04858	46.00000	5964.00000	43200.00000	49800.00000	3.00000	1.00000	0.00000	0.00000
-0.02336	-0.02846	-0.05286	47.00000	6099.00000	51200.00000	41200.00000	3.00000	1.00000	0.00000	0.00000
-0.02306	-0.02878	-0.05530	48.00000	5758.00000	47400.00000	41800.00000	3.00000	1.00000	0.00000	0.00000
-0.02296	-0.02928	-0.05457	49.00000	5787.00000	53200.00000	55000.00000	3.00000	1.00000	0.00000	0.00000
-0.02279	-0.02961	-0.05664	50.00000	5749.00000	47600.00000	42800.00000	3.00000	1.00000	0.00000	0.00000
-0.02298	-0.02973	-0.05298	51.00000	5785.00000	40600.00000	48600.00000	3.00000	1.00000	0.00000	0.00000
-0.02285	-0.02955	-0.05237	52.00000	5756.00000	48400.00000	49800.00000	3.00000	1.00000	0.00000	0.00000
-0.02272	-0.02973	-0.04980	53.00000	5762.00000	45600.00000	51600.00000	3.00000	1.00000	0.00000	0.00000
