File Header:	
File Path:	Z:\Data\Zebrafish Misgeld Wehne 2013\04.14.14 mitoPAGFP + mitoTAGRFP\Trajectory10-retrograde.txt
Date:	4/15/2014
Time:	3:23 PM
Orbit_Time_[ms]:	5
Orbit Radius [V]: 	0.0150
Tracking_Treshold_[Hz]:	   5000
Delay_Orbits: 	  1
Number of Particles:	1
Long_Range:	1
Long Range_Treshold_[V]:	0.5882
Data:	
|X Pos [V]|	|Y Pos [V]|	|Z Pos [V]|	|Step #|	|Calc Time [ms]|	|Int 1 [Hz]|	|Int 2 [Hz]|	|Camera Frame|	|Tracking Active|	|Long Range X|	|Long Range Y|
0.02166	0.15761	-0.00244	1.00000	931.00000	162800.00000	143800.00000	1.00000	1.00000	0.00000	0.00000
0.02228	0.15619	-0.00769	2.00000	977.00000	147200.00000	112600.00000	1.00000	1.00000	0.00000	0.00000
0.02303	0.15452	-0.01160	3.00000	960.00000	138400.00000	113800.00000	1.00000	1.00000	0.00000	0.00000
0.02384	0.15280	-0.01453	4.00000	942.00000	130600.00000	112600.00000	1.00000	1.00000	0.00000	0.00000
0.02474	0.15129	-0.01746	5.00000	951.00000	134800.00000	116200.00000	1.00000	1.00000	0.00000	0.00000
0.02567	0.14945	-0.02100	6.00000	953.00000	127000.00000	106000.00000	1.00000	1.00000	0.00000	0.00000
0.02630	0.14766	-0.02612	7.00000	992.00000	129200.00000	99400.00000	1.00000	1.00000	0.00000	0.00000
0.02705	0.14574	-0.02832	8.00000	950.00000	119400.00000	106800.00000	1.00000	1.00000	0.00000	0.00000
0.02780	0.14368	-0.03210	9.00000	966.00000	126800.00000	104400.00000	1.00000	1.00000	0.00000	0.00000
0.02840	0.14172	-0.03369	10.00000	968.00000	116400.00000	107400.00000	1.00000	1.00000	0.00000	0.00000
0.02890	0.13957	-0.03662	11.00000	947.00000	114200.00000	98600.00000	1.00000	1.00000	0.00000	0.00000
0.02960	0.13764	-0.04004	12.00000	962.00000	122200.00000	102600.00000	1.00000	1.00000	0.00000	0.00000
0.03041	0.13552	-0.04248	13.00000	949.00000	118000.00000	104000.00000	1.00000	1.00000	0.00000	0.00000
0.03107	0.13334	-0.04712	14.00000	959.00000	125200.00000	98800.00000	1.00000	1.00000	0.00000	0.00000
0.03187	0.13122	-0.04858	15.00000	1026.00000	108000.00000	100000.00000	1.00000	1.00000	0.00000	0.00000
0.03251	0.12888	-0.05078	16.00000	944.00000	101200.00000	90400.00000	1.00000	1.00000	0.00000	0.00000
0.03237	0.12757	-0.05420	17.00000	947.00000	76200.00000	64200.00000	1.00000	1.00000	0.00000	0.00000
0.03048	0.12981	-0.05737	18.00000	956.00000	90600.00000	77200.00000	1.00000	1.00000	0.00000	0.00000
0.02784	0.13214	-0.06848	19.00000	4240.00000	58600.00000	33600.00000	1.00000	1.00000	0.00000	0.00000
0.02590	0.13534	-0.06885	20.00000	5766.00000	95200.00000	93200.00000	1.00000	1.00000	0.00000	0.00000
0.02451	0.13792	-0.06604	21.00000	5763.00000	89400.00000	102800.00000	1.00000	1.00000	0.00000	0.00000
0.02357	0.13999	-0.06104	22.00000	5783.00000	89800.00000	114800.00000	2.00000	1.00000	0.00000	0.00000
0.02292	0.14154	-0.05750	23.00000	5739.00000	90800.00000	108000.00000	2.00000	1.00000	0.00000	0.00000
0.02240	0.14299	-0.04895	24.00000	5777.00000	82000.00000	125000.00000	2.00000	1.00000	0.00000	0.00000
0.02232	0.14401	-0.04346	25.00000	5932.00000	91800.00000	120200.00000	2.00000	1.00000	0.00000	0.00000
0.02232	0.14475	-0.03894	26.00000	5981.00000	93400.00000	116400.00000	2.00000	1.00000	0.00000	0.00000
0.02261	0.14526	-0.03809	27.00000	6096.00000	102800.00000	107000.00000	2.00000	1.00000	0.00000	0.00000
0.02290	0.14577	-0.03564	28.00000	5798.00000	102800.00000	116000.00000	2.00000	1.00000	0.00000	0.00000
0.02288	0.14613	-0.03357	29.00000	5782.00000	102000.00000	112600.00000	2.00000	1.00000	0.00000	0.00000
0.02302	0.14618	-0.03101	30.00000	5756.00000	90000.00000	102200.00000	2.00000	1.00000	0.00000	0.00000
0.02309	0.14631	-0.03064	31.00000	5765.00000	106200.00000	108000.00000	2.00000	1.00000	0.00000	0.00000
0.02309	0.14623	-0.03235	32.00000	6019.00000	109400.00000	100200.00000	2.00000	1.00000	0.00000	0.00000
0.02313	0.14645	-0.03467	33.00000	5775.00000	107000.00000	94800.00000	2.00000	1.00000	0.00000	0.00000
0.02299	0.14646	-0.03442	34.00000	5770.00000	111000.00000	112000.00000	2.00000	1.00000	0.00000	0.00000
0.02301	0.14624	-0.03259	35.00000	5752.00000	115200.00000	126000.00000	2.00000	1.00000	0.00000	0.00000
0.02282	0.14585	-0.03149	36.00000	5754.00000	111000.00000	116600.00000	2.00000	1.00000	0.00000	0.00000
0.02281	0.14548	-0.02991	37.00000	5793.00000	98800.00000	106800.00000	2.00000	1.00000	0.00000	0.00000
0.02267	0.14531	-0.02966	38.00000	5772.00000	104200.00000	105400.00000	2.00000	1.00000	0.00000	0.00000
0.02272	0.14510	-0.02710	39.00000	5780.00000	106200.00000	120400.00000	2.00000	1.00000	0.00000	0.00000
0.02269	0.14495	-0.02625	40.00000	5774.00000	109800.00000	114000.00000	2.00000	1.00000	0.00000	0.00000
0.02279	0.14452	-0.02820	41.00000	5775.00000	122200.00000	110800.00000	2.00000	1.00000	0.00000	0.00000
0.02269	0.14425	-0.02710	42.00000	5777.00000	107000.00000	112600.00000	2.00000	1.00000	0.00000	0.00000
0.02282	0.14419	-0.02722	43.00000	5752.00000	109800.00000	109000.00000	2.00000	1.00000	0.00000	0.00000
0.02272	0.14400	-0.02600	44.00000	5771.00000	113200.00000	119800.00000	2.00000	1.00000	0.00000	0.00000
0.02290	0.14377	-0.02478	45.00000	5755.00000	112000.00000	118600.00000	2.00000	1.00000	0.00000	0.00000
0.02282	0.14333	-0.02441	46.00000	5757.00000	113200.00000	115200.00000	2.00000	1.00000	0.00000	0.00000
0.02283	0.14297	-0.02393	47.00000	5794.00000	106400.00000	109000.00000	2.00000	1.00000	0.00000	0.00000
0.02261	0.14293	-0.02209	48.00000	5894.00000	92400.00000	101000.00000	2.00000	1.00000	0.00000	0.00000
0.02248	0.14287	-0.02271	49.00000	5767.00000	114400.00000	110800.00000	2.00000	1.00000	0.00000	0.00000
0.02214	0.14274	-0.02393	50.00000	5636.00000	107200.00000	100400.00000	2.00000	1.00000	0.00000	0.00000
